Date,Close,Open,High,Low,Volume
10/20/2025,516.79,514.61,518.7,513.43,1467
10/17/2025,513.58,509.04,515.48,507.31,1987
10/16/2025,511.61,512.58,516.85,508.13,1556
10/15/2025,513.43,514.96,517.19,510,1469
10/14/2025,513.57,510.23,515.28,506,1468
10/13/2025,514.05,516.41,516.41,511.68,1428
10/10/2025,510.96,519.64,523.58,509.63,2413
10/09/2025,522.4,522.34,524.33,517.4,1834
10/08/2025,524.85,523.28,526.95,523.09,1336
10/07/2025,523.98,528.28,529.8,521.44,1462
10/06/2025,528.57,518.61,531.03,518.2,2139
10/03/2025,517.35,517.1,520.49,515,1511
10/02/2025,515.74,517.64,521.6,510.68,2122
10/01/2025,519.71,514.8,520.51,511.69,2263
09/30/2025,517.95,513.24,518.16,509.66,1973
09/29/2025,514.6,511.5,516.84,508.88,1762
09/26/2025,511.46,510.06,513.94,506.62,1621
09/25/2025,507.03,508.3,510.01,505.04,1579
09/24/2025,510.15,510.38,512.48,506.92,1353
09/23/2025,509.23,513.8,514.59,507.31,198
09/22/2025,514.45,515.59,517.74,512.54,2001
09/19/2025,517.93,510.56,519.3,510.31,5247
09/18/2025,508.45,511.49,513.07,507.66,1891
09/17/2025,510.02,510.62,511.29,505.93,1582
09/16/2025,509.04,516.88,517.23,508.6,1971
09/15/2025,515.36,508.79,515.47,507,1714
09/12/2025,509.9,506.65,512.55,503.85,2362
09/11/2025,501.01,502.25,503.17,497.88,1888
09/10/2025,500.37,502.98,503.23,496.72,2161
09/09/2025,498.41,501.43,502.25,497.7,1441
09/08/2025,498.2,498.11,501.2,495.03,1677
09/05/2025,495,509.07,511.97,492.37,3199
09/04/2025,507.97,504.3,508.15,503.15,1551
09/03/2025,505.35,503.79,507.79,502.32,1635
09/02/2025,505.12,500.46,506,496.81,1813
08/29/2025,506.69,508.66,509.6,504.49,2096
08/28/2025,509.64,507.09,511.09,505.5,1802
08/27/2025,506.74,502,507.29,499.9,1728
08/26/2025,502.04,504.36,504.98,498.51,3084
08/25/2025,504.26,506.63,508.19,504.12,2164
08/22/2025,507.23,504.25,510.73,502.41,2432
08/21/2025,504.24,503.69,507.63,502.72,1844
08/20/2025,505.72,509.86,511,504.44,2772
08/19/2025,509.77,515,515.16,508.55,2148
08/18/2025,517.1,521.59,522.82,514.02,2376
08/15/2025,520.17,522.77,526.1,519.08,2521
08/14/2025,522.48,522.56,525.95,520.14,2027
08/13/2025,520.58,532.11,532.7,519.37,1962
08/12/2025,529.24,523.75,530.98,522.7,1869
08/11/2025,521.77,522.3,527.59,519.72,2019
08/08/2025,522.04,522.6,524.66,519.41,1553
08/07/2025,520.84,526.8,528.09,517.55,1608
08/06/2025,524.94,530.9,531.7,524.03,2136
08/05/2025,527.75,537.18,537.3,527.24,1917
08/04/2025,535.64,528.27,538.25,528.13,2535
08/01/2025,524.11,535,535.8,520.86,2898
07/31/2025,533.5,555.22,555.45,531.9,5162
07/30/2025,513.24,515.17,515.95,509.43,2638
07/29/2025,512.57,515.53,517.62,511.56,1647
07/28/2025,512.5,514.08,515,510.12,1431
07/25/2025,513.71,512.47,518.29,510.36,1913
07/24/2025,510.88,508.77,513.67,507.3,1611
07/23/2025,505.87,506.75,506.79,500.7,164
07/22/2025,505.27,510.97,511.2,505.27,1387
07/21/2025,510.06,506.7,512.09,505.55,1407
07/18/2025,510.05,514.48,514.64,507.43,2121
07/17/2025,511.7,505.68,513.37,505.62,175
07/16/2025,505.62,505.18,506.72,501.89,1515
07/15/2025,505.82,503.02,508.3,502.79,1493
07/14/2025,503.02,501.52,503.97,501.03,1206
07/11/2025,503.32,498.47,505.03,497.8,1646
07/10/2025,501.48,503.05,504.44,497.75,165
07/09/2025,503.51,500.3,506.78,499.74,1866
07/08/2025,496.62,497.24,498.2,494.11,1185
07/07/2025,497.72,497.38,498.75,495.23,1398
07/03/2025,498.84,493.81,500.13,493.44,1398
07/02/2025,491.09,489.99,493.5,488.7,1632
07/01/2025,492.05,496.47,498.05,490.98,1995
06/30/2025,497.41,497.04,500.76,495.33,2837
06/27/2025,495.94,497.55,499.3,493.03,3454
06/26/2025,497.45,492.98,498.04,492.81,2158
06/25/2025,492.27,492.04,494.56,489.39,175
06/24/2025,490.11,488.95,491.85,486.8,2231
06/23/2025,486,478.21,487.75,472.51,2486
06/20/2025,477.4,482.23,483.46,476.87,3758
06/18/2025,480.24,478,481,474.46,1753
06/17/2025,478.04,475.39,478.74,474.08,1541
06/16/2025,479.14,475.21,480.69,475,1563
06/13/2025,474.96,476.41,479.18,472.76,1681
06/12/2025,478.87,475.02,480.42,473.52,1895
06/11/2025,472.62,470.02,475.47,469.65,164
06/10/2025,470.92,471.18,472.8,466.96,1538
06/09/2025,472.75,469.7,473.43,468.62,1647
06/06/2025,470.38,470.08,473.33,468.78,1529
06/05/2025,467.68,464.95,469.65,464.03,2015
06/04/2025,463.87,464,465.69,463.02,1416
06/03/2025,462.97,461.47,464.14,460.86,1574
06/02/2025,461.97,457.14,462.11,456.89,1663
05/30/2025,460.36,459.71,461.68,455.54,3477
05/29/2025,458.68,461.55,461.72,455.31,1398
05/28/2025,457.36,461.22,462.52,456.93,1709
